Name,Title,aiconalt,View,State,View1,asizebase
AJ,TO THE SELLER: Replace the food jar most urgently with topmost priority. This is very bad.,1.0 out of 5 stars,"Reviewed in India on January 15, 2021",Verified Purchase,,14 people found this helpful
s s sharma,not Satisfied with performance,1.0 out of 5 stars,"Reviewed in India on May 28, 2017",Verified Purchase,not satisfied.......product is not working ....and even after registering the complaint 4 days ago nothing has been done so far  even after assuring  to get service within 8 hours . Have mailed 4 times but of no avail,60 people found this helpful
Priyanka B. Rai,Very good product,5.0 out of 5 stars,"Reviewed in India on February 2, 2018",Verified Purchase,"Does whatever it says. Fantastic chopping, slicing, grating, grinding and  dough making.just the juicer is not very good at extracting coconut milk",47 people found this helpful
Sup.,Must have appliance,5.0 out of 5 stars,"Reviewed in India on August 11, 2020",Verified Purchase,"The best appliance in kitchen. I have tried the next 2.0 but this zodiac mixer grinder is worth every penny. It grates (slightly bigger grate than expected of manual grating. Hack: after grating, attach chopping blade and pulse once or twice),
It chops (be careful to do pulsing for a second or two, it could be sufficient),
Kneads flour very well,
Wet grinder and dry grinder works well for dosa/idli grinding and dry spices grinding respectively.
Juice grinder is great. Helps with seperation of seeds in watermelon.
In the processor attachment, slicing is bit thick, but doable.
Also, citrus fruit juice extractor is great for its cause and serves purpose.
I feel it's a must have in every working woman's kitchen.",14 people found this helpful
Amazon Customer,Excellent Product,5.0 out of 5 stars,"Reviewed in India on October 31, 2018",Verified Purchase,"I bought the Preethi Zodiac after a pretty expensive research. I was apprehensive about the noise levels as mentioned by a lot of reviews. Though the noise is on a louder side, i have not had much of an issue with it. Coming to the machine, i have been using it for almost 10 days now and i am extremely impressed. The mixer is well built and works wonderfully. The juicer jar is simply excellent and every other accessory seems sturdy and well designed. I am super happy with my Preethi Zodiac. Also i commend Amazon on their superb packing.",29 people found this helpful
Prasanna Durairaj,Preethi Zodiac. Overall a good mixer grinder.,4.0 out of 5 stars,"Reviewed in India on September 13, 2018",Verified Purchase,"This product is eye catchy and it comes with various options. It's easy to use and It grinds anything we throw at it in a flash since it has a powerful motor.

To my knowledge, the only con is it's bit noisy compared to other mixer grinders. I will have to check the durability with long term usage. Hopefully it will not give much trouble.

Overall I am satisfied with the product. I have given 4 star just because I am unaware of its durability.",27 people found this helpful
Prajakta Koratkar,Noisy ata dough making,3.0 out of 5 stars,"Reviewed in India on July 17, 2020",Verified Purchase,Video Player is loading.,17 people found this helpful
Vanishree S,"Very noisy, leaky jars",1.0 out of 5 stars,"Reviewed in India on September 19, 2018",Verified Purchase,"The mixer produces a lot of noise. The jars are in 3 parts - base, jar body, and top cover. When using liquids, it tends to leak from the base-body joint. When using the pulse button, liquids spray from the body-top cover joint. Not a good investment.",32 people found this helpful
N_K,Avoid buying!,1.0 out of 5 stars,"Reviewed in India on March 8, 2019",Verified Purchase,"Safety features been kept aside with this product. No locking mechanism has provided for jars and master chef jar as well. They’ve been unlocked and loosen up automatically within certain timing of 45-60 seconds of continuous operation, due to vibrations. No service centres and call centres, even they’re not answering to the emails.
Just an average and wasted product.",21 people found this helpful
Anju Sachin,Good product.. Well thought of...,5.0 out of 5 stars,"Reviewed in India on May 12, 2019",Verified Purchase,Just a few days after delivery. I'll be giving feedback after few months also however on first look and first experience this product is a definite buy... All jobs and all the attachments and fitments are well designed and thought off...  we can attach and detach the fitments easily and convenient to use only one drawback which I can see now is not related to the product however it is related to the packing for such a costly product and also when we are buying from Amazon the packing needs to be superb for such a costly product. Everything inside the box should be covered with bubble sheet so that there is no chance for any damage.. my first delivery was fully damaged product and the only reason I can see because all the components and parts inside the box  was not packed properly.  I mean that there was no proper thermocol or anything inside. No bubble sheet also which could  have made the product immovable inside the box.,21 people found this helpful
Kv sathish,Amazing product ... worth for money ... with offers from amazon 🤩🤩😍😍,5.0 out of 5 stars,"Reviewed in India on October 16, 2018",Verified Purchase,"Started using this food processor unit, making juices 🥤 are bit easy . And does regular activities with minimal sound & quick... compact size , doesn’t occupy much of the space except the n number of jars.. which I figured out to keep it safe..
Owners manual is not so useful, it has been printed on the box 📦 to save cost ? Whatever that’s a rubbish idea given by someone. No one can hold a big box of that size at there home. Pls take a piece of paper print it on .
I had to literally get into YouTube to learn how to use & which blade to be used 🤷🏻‍♂️🤷🏻‍♂️
Given a nice product , reducing cost in printing owners manual ...",23 people found this helpful
Amazon Customer,Total waste of money. Sooner or later you will also find the same.,1.0 out of 5 stars,"Reviewed in India on November 1, 2020",Verified Purchase,"Don't waste your money on Preethi products. Not worth the money you are paying. Plus on this Amazon have only replacement option no return.

I found the following problems with the product :
1. Very cheap quality plastic is used. Plastic componants are starts to crack after 2-3 times of use.

2. Poor build quality. The main unit (motor unit) can't take load of the master jar vibration. So it will break after few uses. Master jar it too big to fit on the small machanism (master jar fitting with main unit).

3. The controlling Switch is also very flimsy. It feels like it can break any time.

4. Not stable as said, you need to hold the jars and the machine using both hands while using. Otherwise it starts to vibration drastically and may cause accident.

5. Finally there are verious reviews (I think most of them are not genuine about the product, may be paid (possibly). Don't fall trapped in such reviews.

Just checke the above points while using the product by yourself (better you can take home demo by paying Rs. 250 as they offer). After all loosing Rs. 250 is better than loosing Rs. 7,000 approx.",9 people found this helpful
PV,Overall a great blender,5.0 out of 5 stars,"Reviewed in India on September 29, 2020",Verified Purchase,"Using this for over a year now. The blender is great. Motor is very powerful and reliable. No issues so far with any size of load.
In addition this comes with very good attachments: Grater, Dough maker, juicer. I use the citrus juicer a lot to make orange juice.
I makes chutney and shakes very well. Overall a great buy, go for it.",11 people found this helpful
Senthil,very Old Product + less quality,2.0 out of 5 stars,"Reviewed in India on November 29, 2018",Verified Purchase,"Hi,
Product Manufacturing date = Mar'2016. During usage, we faced below problems.
1) no stickers indicating direction as in jar I checked in showroom later. [clearly indicating that the delivered item is old]
2) lock in the bigger jar wasnt working or loose.
3) changed the bush in the service center as the small jar blades were tight.
4) after couple of usage, there was a crack in small jar handle. [got it fixed after a long discussion in the service center, despite reaching them with all relevant papers]
So far, visiting service center thrice. :-(
had tough time convincing ... that its not money wasted, but I knew, I made a err....",22 people found this helpful
Vv,Effortlessly brilliant!,5.0 out of 5 stars,"Reviewed in India on August 21, 2019",Verified Purchase,"Bought this as an anniversary gift to my parents and they loved it. Preethi has surely done a fine job with the design of this product. It looks super modern and powerful. The box had a lot of accessories. It was fun assembling all the jars after reading the user manual. The holder on each jar is pure steel and gives that shiny premium look while using it. The 750 w motor performs too good in grinding stuffs. It is indeed noisy but considering its power, its alright. All the equipments were properly packed inside the box and it was shipped on time. Totally happy with this Zodiac. Truly a mixer-grinder masterpiece!",13 people found this helpful
Gupta Devatha,Nice one,5.0 out of 5 stars,"Reviewed in India on July 23, 2019",Verified Purchase,"Mixer grinders are a prized possession among Indian women. Preethi zodiac 750 watts juicer mixer grinder having 5 jars . This consume less electricity. It comes in 2 colors black and grey. one of the best kitchen appliances.
DURABILITY: Durability is 750 watt. Preethi zodiac is one of the latest multipurpose mixer grinder model from preethi .There is an overload indicate light. if you overload the mixer grinder, the light will change from blue to red. The moter will be tripped and you. Preethi zodiac comes with 2 years warranty. The motor comes with 5 years warranty.

HANDY: Huge product with multiple jars, but very handy&portable.

STYLE& DESIGN: The look wise it""s very modern.Personally we feel, zodiac has a very cool and stylish design.",12 people found this helpful
Amazon Customer,"Heavy duty, grinds fast both dry and wet",5.0 out of 5 stars,"Reviewed in India on April 16, 2019",Verified Purchase,"It’s a single machine with different attachments and pots so save space. Very heavy duty grinds really fast and fine. Food processor is good too chops veggies well and kneeds atta fast and smooth. 3 pots of grinder works really good, material is sturdy also. But insta-juicer doesn’t works as expected, very average. So we use it for making cold coffee or milkshakes, grindes ice super fast.",16 people found this helpful
Saravananmanavalan,Processor jar is of poor quality. Don't buy,1.0 out of 5 stars,"Reviewed in India on January 2, 2021",Verified Purchase,Food processor jar after first use we observed that there is a thin layer of protruding plastic sharpen edges which is fragile in nature during cleaning. We opt Preethi especially this model only for the processor jar facility. We never expected this type of poor quality mateial being used for making the processor jar. Now it is in unusable condition. Please look into it and replace the food processor jar on priority. FYI- Earlier we used Preethi prochef for 12 years. Based on the assurance only we bought this model.,8 people found this helpful
Ajith.B,Preethi Zodiac - Atta Kneader replacement reg-,3.0 out of 5 stars,"Reviewed in India on January 28, 2019",Verified Purchase,"I purchased the Preethi Zodiac Mixer Grinder on 30th September 2018 with 5yr warranty for motor and 2yr for product. But the Atta kneader bowl developed a crack on its shaft and is leaking. If the apparatus is covered under warranty, kindly replace it with a fresh atta kneader bowl.",21 people found this helpful
MIDHUN PAUL,Excellent product but delay delivery,5.0 out of 5 stars,"Reviewed in India on May 19, 2021",Verified Purchase,"Order placed on 11 may but the product shipped only on 16 may and I received the product on 19 may so I wait 5days extra if it shipped on 12th I will get the package on 15th so I need to wait 4-5 days extra it make me disappointed. Pls try to make fast delivery as soon as possible. But rest of all I totally satisfied, the quality of  delivery and the quality of product etc...",6 people found this helpful
Avinash Sharma,Worst,1.0 out of 5 stars,"Reviewed in India on January 25, 2021",Verified Purchase,It make too much noise more than my house generater. Just imagine someone using a drilling machine on iron and keep it close to your ears. Please do not waste your money on such products. It's atta jar has stopped working after 2 months have called customer service thrice. They don't have an agent near me who can look into the issue. So what will you do of so many years warranty if you don't have an agent near. If you still want to purchase just reply on this text I'll give you in half price. Then the price listed here. With all box and invoice.,8 people found this helpful
Shopaholic,Damaged in 6 months.. please don't buy  Preethi!!!!,1.0 out of 5 stars,"Reviewed in India on December 14, 2020",Verified Purchase,Early I had given 5 stars. But now it is no start.. both mixer jar and food processor damaged in 6 months..I use mixie very rare and still it is damaged..have used 3 mixies befre thisthis is the first time my mixie is getting damaged..never had to take any of my previous mixie for service..gave them away only when it gets old..I use less and am very careful.. this is highly disappointing!!! Thought Preethi was the best brand.. obviously I am wrong..now I have to waste my time giving it for service!!!,6 people found this helpful
lokesh,Better to buy this product form Authorized Shops,1.0 out of 5 stars,"Reviewed in India on March 23, 2020",Verified Purchase,"I purchased this product on-line hoping that this may be authenticated one, I am staying outside India, I just started using this product and found below issues, which is giving more doubt of product authentication. Also we never faced such issues for the same brand of old model mixer for the last few years, which we purchased from authorized dealer in the market.
1. The packing of mixer parts were clumsy and without thermo coal or corrugated for protection, which shows someone packed in hurry.
2. While using we found that the fixing & removal of jars from the machine is very tight & difficult, we never faced such issues in any of the other mixers.
3. Too much noise like big machine which is unusual for such kind of branded mixers.
4. We used same brand of old model mixer for the last few years, the lid never broken, but a small slip made new lid broken.",8 people found this helpful
VISWA,ONE OF THE BEST MIXER GRINDER,5.0 out of 5 stars,"Reviewed in India on June 19, 2019",Verified Purchase,For Employees who are in hurry always this is prefect.  Chopping made very easy. Chapathi mixing is just like that no other mixer grinder will do like this. Those who need best quality and easy to use go for it. But noise is littel bit loud,13 people found this helpful
Violina,Excellent and very powerful food processor.,5.0 out of 5 stars,"Reviewed in India on May 19, 2021",Verified Purchase,"Very very useful food processor. At last I got my favourite food processor. Very strong body and its function. Within few seconds it will make your doughnuts, powder, paste, juice. Time consumption is extremely low. Very sturdy processor but sounds is quite high may be due to its powerful function.I would say it is the best food processor I have ever bought. 💯 Satisfied.👍",5 people found this helpful
MGandhi,Power Tools like super high level of noise level,1.0 out of 5 stars,"Reviewed in India on February 28, 2021",Verified Purchase,"I am writing this review after using the mixer grinder for few months so that you have a real feedback instead of box opening review.
Pros- Very powerful, Loads of features and Jars
Cons- Suber High db Noise.. you and your neighbors can get serious hearing problem
Poor build quality of rotor blade- with in 1 month of use of mixer rotor blade mounted on motor shaft coming out regularly and now it is now permanently out so needs a service call- poor performance and headache of service call.
Overall- Not a good design for home use and not recommended at all.",5 people found this helpful
Sheetal Mali ,Very happy,5.0 out of 5 stars,"Reviewed in India on April 6, 2021",Verified Purchase,After reading so may reviews got Preethi zodiac. It's one of the best in market now. 750 watts motor yes it does make noise which is bearable. It takes few secs to grind anything. My only concern why the handles are made of plastic other than that it's a great product.,6 people found this helpful
Darshan,Waste Product.. Don't buy from Amazon..,1.0 out of 5 stars,"Reviewed in India on December 17, 2018",Verified Purchase,Waste Product.. Better go for other product from Other manufacturers like Sujata n all. After sales service horrible... Don't buy it from Amazon also...,20 people found this helpful
Sandeep Kumar,Good Product,5.0 out of 5 stars,"Reviewed in India on June 9, 2021",Verified Purchase,"We have read a lot of review abt this product and hence bought it. We found the following:
Pros - Powerful Motor, Good quality blades, Multiple usages etc..
Cons - The grinding sound is pretty high than the usual mixers..

Overall good product.. Only drawback is, when we received, the small jar was defective and there was leakage.. This is minor and can be fixed in local shops. But Preeti being a good brand, did not except this....",6 people found this helpful
Hemanth Meduri,"Best Mixer for all the Purposes, It's Superb!",5.0 out of 5 stars,"Reviewed in India on September 16, 2021",Verified Purchase,"Preethi Zodiac MG 218 is JUST AWESOME.

Best in all segments in mixer, easy to use and makes our work in seconds.
I liked the atta kneading one which is masterchef, does my work without any pain to my hands.
But little bit of noise which is negligible.

And one thing the caps of jars can be more tight and can expect more quality one for this premium preethi mixer.

That's it, overall it's GOOD.",4 people found this helpful
Sujith B,Preethi Zodiac stands for Quality,5.0 out of 5 stars,"Reviewed in India on May 10, 2021",Verified Purchase,I upgraded from Preethi Gold to Zodiac MG218 and fully satisfied with the quality of product. The noise level is comparitively lesser. I am also fully satisfied with the way Amazon delivered the product in the best manner possible without any damage to product which was one of my apprehension. Fully satisfied with the product.,7 people found this helpful
Sujeeth,Great product,5.0 out of 5 stars,"Reviewed in India on April 27, 2021",Verified Purchase,"Thank you Amazon. Firstly, i have received the defective product and i have contacted the Amazon customer care and within 18 hours the replacement product has arrived. Thank you for expediate the return process. Secondly, the product excellent, but the noise level is peak... everyone near my house know that i use Preethi :) I think that is the trademark for the product.",4 people found this helpful
Amazon Customer from Chennai,Very inconsistent quality !! Serious problem with manufacturer and seller,1.0 out of 5 stars,"Reviewed in India on August 21, 2021",Verified Purchase,"I made 2 orders for the same model Preethi mg218 mixer grinder. For each order I found a defect and got replacement and the replacement also had issues because of which I returned. My history with this -
Order 1
1. Product 1 - the washer from the food processor fell off.
2. Replacement for product 1 - there was fumes and smoke coming from juice extractor and blender.
Returned and got refund for order 1
Order 2
1. Product 2 - the blender blade assembly was misaligned and tilted and there was smokes and fumes again when used blender.
2. Replacement for product 2 - Package was opened. Serial number was scratched out on the box. Didn’t accept and directly returned.
I was excited about this product since the cutting was very good but I don’t think the manufacturer cares about quality anymore !!",2 people found this helpful
lilly rose,Good mixie one should have,5.0 out of 5 stars,"Reviewed in India on December 2, 2021",Verified Purchase,"Lots of benifits with this...
1) Time saving in cutting vegetables and onions
2) Atta kneeding superb

Other jars are common where everyone has...but this extra jar keeps you happy in your work",4 people found this helpful
PRADEEP MITTAL,Powerful Machine,5.0 out of 5 stars,"Reviewed in India on September 22, 2021",Verified Purchase,Video Player is loading.,4 people found this helpful
Nutan G,Preethi is Indian brand and is made for Indian kitchen needs.,5.0 out of 5 stars,"Reviewed in India on November 2, 2019",Verified Purchase,"Hi friends,

I purchased this mixer grinder recently. It is worth each penny.

Dough maker is so fast and easy to clean. Dough is soft and rotis turned out to be soft, fluffy. The noise is little more but it is ok.

If you are planning to buy, you can surely go for it. Preethi is Indian brand and is made for Indian kitchen needs.

Loved the product, design, quality, performance.",6 people found this helpful
Vikas soni,"It's good, go for it",5.0 out of 5 stars,"Reviewed in India on April 30, 2021",Verified Purchase,"Everything is good about this mixer. I used to struggle with the old mixer/food factory with batter, chutneys, and grinding the sugar etc..this solved all the past issues.. definitely recommend",5 people found this helpful
Khajahusen Zende,Stylish & works great,5.0 out of 5 stars,"Reviewed in India on June 17, 2022",Verified Purchase,"Even though the ratings were high I had read couple of negative reviews. Still went ahead and bought it as this is a complete food processor with Grinder+ Atta kneader+ Veg cutting/ Juice maker. Considering all these spending 9k is worth the value.

Grinding operation is good like any other branded mixer. Atta kneader is excellent, does it's job in 2min, quite fast. Juicer is also great.

Quite happy with overall product quality & looks very stylish. Noise level bit high but manageable, not that scary :)

If you are looking for complete food processor, then this is it, just go ahead.",One person found this helpful
Sathish Dhandapani,Excellent product,5.0 out of 5 stars,"Reviewed in India on June 7, 2021",Verified Purchase,This mixer grinder was super product.. noise level was little bit high and easy to clean and easy to use.. I like this Preethi zodiac.. jars have sharp edges it's hurt me..but product working excellent.. very useful for me.. atta knead was very soft.. juicer also working super..,4 people found this helpful
Saurabh,Unsafe product,2.0 out of 5 stars,"Reviewed in India on December 16, 2020",Verified Purchase,"The mixer is powerful and versatile, blades and sharp, performance is good as well. However its safety design is very poor. The blades are very difficult take out, the locking/unlocking mechanism has a lot to improve. It led to two incidents in the kitchen. Today my mom's fingers got severely cut and we had to rush to hospital to get stitches. That was after following instructions, nobody at home could get the blades out from the mixer. We are giving it away and not planning to use anymore.",3 people found this helpful
Harshi,Worst product,1.0 out of 5 stars,"Reviewed in India on October 3, 2021",Verified Purchase,"This is the worst product I have ever got! It's only useful for soft veggies cutting. It is super noisy.

For this cost, they have used very low quality plastic which breaks easily.

I tried dry coconut, after a min smoke started come & plastic burnt nicely 🙂 you can see the same in pictures !!",3 people found this helpful
Harsh Bhuwal,One of the bad products on Amazon.,1.0 out of 5 stars,"Reviewed in India on January 18, 2019",Verified Purchase,"This product is not worth spending money on. I mostly used it to make vegetable juice and is not getting good juice secondly the Jar fills up even before I get 2 glass of juice.

Also, it's not even a month and it has stopped working it just keep on giving me overload signal even after I have pressed reset button a several times by now.

Yes, I did call there customer service and they are sending someone but have given me a appointment after a week, which I believe is a long time to get your appliance working again.",11 people found this helpful
MUHAMMED HASHIM,Poor Packing & Damaged MasterShef's Jar screw on the first use,1.0 out of 5 stars,"Reviewed in India on August 28, 2021",Verified Purchase,"I have ordered this product after so much study and reference. Then I have booked Preethi Zodiac on 20.08.2021 and delivered on 23.08.2021. I was happy & delighted with the  timely delivery. But the happy & delightment was for a short time. Amazon's outer cover was ok..but the product's original cover was broken and shabby. The cover's all the edges were broken and tied with lot of tapes. I felt the product was a returned item or refurbished item. Some jars was placed without plastic covers. It was placed without arranged or dislocated. Me and my family was very disappointed after seeing the product packaging. I did not expected such an experience from Amazon. Really disheartened experience from Amazon. I am wondering why this carelessness for such an expensive product from a reputed and trusty firm. This is really not appreciated.

Usage:-
It's MasterShef's jar's screw was damaged on the first use and visited service centre on 27.08.21 for the repair. Very disappointed experience from a premium product. I'll not recommend anyone for this product.",2 people found this helpful
Satya ,Good product but knob is loose not of good quality,4.0 out of 5 stars,"Reviewed in India on December 16, 2017",Verified Purchase,Good product but knob is loose not of good quality. Knob feels cheap for a 7000 rupees product. Also Masala jar cap's rubber is not so good.,20 people found this helpful
Ujval Maddula,Broken second day,1.0 out of 5 stars,"Reviewed in India on January 21, 2022",Verified Purchase,I have received the mixer and was very happy on the day one with it but unfortunately on day two after the second use the manger broke loose. We thought we have made a good purchase and before we could be happy with that and the product broke. Amazon are sending a replacement but now it will always be on the mind if it is the right product or not,2 people found this helpful
Mohan Raj S,Broken jar and no customer support,1.0 out of 5 stars,"Reviewed in India on March 17, 2021",Verified Purchase,on the outwards jar looks sturdy but one of jar broken in less than 2 months. Preethi support redirecting to Amazon and Amazon return period is ended. We are with broken jar needs to be repaired with our money. Pathetic customer support,4 people found this helpful
Sandeep Raut,"Good quality product, excellent for Indian cooking...",5.0 out of 5 stars,"Reviewed in India on July 6, 2020",Verified Purchase,"Very good buy. Very sturdy and good quality of materials used. The grinding is very fine, now I don't even need to use strainer, which I had to use in my old mixer. The juicer is also good, only issue I feel is with citrus juicer, which does not feel very firm while using, that may be due to the design, but you get worries that it could break during the usage....",4 people found this helpful
SS,My second review,1.0 out of 5 stars,"Reviewed in India on July 19, 2021",Verified Purchase,"Looks like my last review was very strong and hence was taken down. I am trying to be more polite this time but I will still be true.

Overall the mixer is okay. The biggest downside is that it uses the same wheel gear for kneading,chopping, mixing and juicing.
While most of it just works, the biggest problem is kneading which we usually do daily.
Kneading the dough equires the kneading attachment to be placed. Which means an extra layer of gear attachment in technical sense. Gear of this kneader is not silent and it adds to a tremendous noise level. I completely dislike this noise level and planning to sell off this mixer... As this noise seems to be not possible to fix. It is there by design.
Hope this time the review will help the people who are staying with elderly or someone who is not tolerant this much noise level and help them decide appropriately.",2 people found this helpful
