Name,Title,aiconalt,View,State,View1,asizebase
,,,,,,
Manu,Order at your own risk. Read the review and you will understand,1.0 out of 5 stars,"Reviewed in India on October 8, 2020",Verified Purchase,Video Player is loading.,28 people found this helpful
K,Not the best I've used,3.0 out of 5 stars,"Reviewed in India on August 2, 2019",Verified Purchase,"I've used it for one month. My experience so far is neither good nor bad.
Pros: Occupies less space; Philips is a known brand. Reasonable price.
Cons: The steel of the jars and blades is really very thin. I have severe doubts about it's durability.
Also, though 750W, the grinder is not powerful. I have to divide lentils etc into really small batches. My older mixie would grind them in a just one batch, very easily.
The blades are neither screw-on nor removable - they are fixed into the jars, which making cleaning under the blades very tough.
The rubber stubs do not hold well, so the mixie keeps slipping while grinding, and has to be held.
Overall, I'm unimpressed. I may update after using for 6 months.",36 people found this helpful
Supreet Raut,Extremely powerful and worth buying,5.0 out of 5 stars,"Reviewed in India on May 12, 2018",Verified Purchase,Extremely powerful motor and it grinds everything in seconds. Very nice product. Worth buying.,65 people found this helpful
Venkata Ramana,Non removable blades,1.0 out of 5 stars,"Reviewed in India on July 2, 2020",Verified Purchase,"I've not used this product but based on observation.
Pros:
Occupies less space.
Reasonable price.

Cons:
The steel of the jars and blades is really very thin. I have severe doubts about it's durability.
too much noise(without any load and jars) from that of My old mixie which is from local brand.

The main drawback:
The blades are neither screw-on nor removable - they are fixed into the jars, which makes cleaning under the blades very tough.
And it is no where mentioned neither in pictures nor in product description.very much disappointed to find this after I received the product.intially little reluctant to return but eventually I did it without even using it.

Overall, I'm not impressed and didn't expect this from a brand Philips. I may update after I get refund.",25 people found this helpful
Sarthak Chandratre,Most pathetic product by Philips,1.0 out of 5 stars,"Reviewed in India on June 1, 2020",Verified Purchase,"Its a extremely pathetic product, didn't expect this from a brand like philips,  me and my wife both just escaped this, the lids do not hold onto the product at all, i guess even if you sit on this product and grind you will end up getting thrown off, its such pathetic, i am complaining to consumer forum for this one. Please dont buy this.",28 people found this helpful
Shashank Agarwal,"Works well, lacks finesses",3.0 out of 5 stars,"Reviewed in India on October 29, 2018",Verified Purchase,"Works well for a 750W motor. Jars fit well and snap tightly.
Material quality is cheap - cheap plastics on the base unit and jar handles and lids. The base unit looks like it was put together by kids.
Buy it if you are looking only for functionality - this mixer will get the job done. However, if you are looking for a good looking mixer do not go for this one.",34 people found this helpful
Amazon Customer,Good but....,4.0 out of 5 stars,"Reviewed in India on July 3, 2018",Verified Purchase,"I like the design but the problem I face is with the chutney jar as it starts leaking and spilling if i fill the jar with ingredients,  grinding it in two batches then what's the use.",41 people found this helpful
Krishna,Good one for couples/ working professionals,4.0 out of 5 stars,"Reviewed in India on November 13, 2019",Verified Purchase,"My budget is around 3K and I did a lot of research before buying this Mixer grinder. There are quite many options of 750W Mixer grinders in and around 3K price bracket. Brands like Butterfly, Prestige, Preethi & Sumeet(it's traditional one but it's outdated) ..etc

Please don't opt for 500W mixer grinder since we use it for a prolonged period and 500W one won't be good for rough and continuous grinding. Also, you should keep opening the lid of the jar rotate the mix while making wet chutney's as it won't be the finest and mix sticks to the corners of the jar.

This mixer grinder is powerful and comes with 3 jar setup.
Pros:
- The good steel quality of jars
- The motor is powerful and sound is loud since its 750W but it's smooth as compared to others
- IT comes with 2 wet jars(0.3L & 1.5L) and 1 dry jar (1L), completely leakproof

Cons:
- The small jar could have been bigger. It won't be sufficient of making chutney's for more than 2 or 3 peoples
- Main Mixer body plastic quality is OK and not that great, could have been better. However, the quality of the jars is good.

Since the product is from Philips and motor is having 5years of warranty so you can expect good service in case of any issues.

Overall satisfied with the product.",18 people found this helpful
Mustafa N.,Absolutely low-quality metal jars,1.0 out of 5 stars,"Reviewed in India on May 20, 2021",Verified Purchase,"Do no, i repeat, DO NOT buy this. The price is great, but the moment you hold it in your hand, you will know why the price is so great.

the plastic body seems flimsy. the jars seem to be made out of tin, not steel. they are so thin, just a gentle sqeeze with your finger and the walls will bend

i must however, thank Amazon for accepting my complaint and giving me a refund, even though this is a non-refundable, exchange only model. Thank you Amazon. 5 stars to you, not to the product",10 people found this helpful
shekhar suman,Horrible experience with philips please read thorough to know why you should not buy this produt,1.0 out of 5 stars,"Reviewed in India on October 24, 2021",Verified Purchase,Video Player is loading.,8 people found this helpful
Sushant,Not worth it. Don't buy at all.,2.0 out of 5 stars,"Reviewed in India on September 29, 2020",Verified Purchase,"Look at the pics and I don't even have to tell why you should buy this. It's pathetic to see same blades in both the jars. Twice I replaced the product also checked in local market shops..

Both the bigger jars have same exact Blades in this model.
Basically, In mixer grinder every jar has its own function. What's the use of having same blades in two jars?? They have wrong blade in one of them it's clearly! Jars built quality is very poor. You can see local Nuts fitted in photo. Bad quality material used and no point at all in having two jars with same blades. Ironically its funny to see it! Returned it
Not expected from Philipps such quality.",11 people found this helpful
Akash Mahawar,Just buy it for Kitchen. Using for more than a month. Don't buy for Shop.,5.0 out of 5 stars,"Reviewed in India on September 1, 2021",Verified Purchase,"Grinding : Thoda mota pista hai (Not fine granuals, but enough for home purpose. It's okay if buying for home purpose)
Noise : Yes it's noisy
Lock : It's good but could be better
Hole : There is no hole over jar for adding water.
Light weight : Yes
Price : I bought for 3300
Running Time: 20 mins (Don't try it it's false. If u want ur motor to run long time. Use it for 2-3 mins and let it cool for atleast 45-60 sec)
Like : Worth of Money
Dislike : Bit noisy and shall provide holes in lid for adding water.
Rating : 4.5/5

Don't think lot. Just go and buy if u r going to use in kitchen. If u want to use for shop, please don't buy. Please like if u read till here😁.",9 people found this helpful
Vishal Tripathi,Read review and then take a judicious call,2.0 out of 5 stars,"Reviewed in India on October 2, 2019",Verified Purchase,"In summary, if you have seen and evaluated the product offline and happy with it then go ahead.

But I returned this item as soon opened the box. Reasons being as below:

1) Edges of chatni jar are sharp and one may get hurt while cleaning them
2) Blades are not robust enough and wont have a long life
3) Jars are of feather weight and may not have a long shelf life.

Have a Philips mixer which is 8 years old and its pretty reliable . May be now the quality has deteriorated and they don’t make the sturdy products like that anymore.",14 people found this helpful
Mahavir gandhi,Wrong Service by amazon and policy about replacement,1.0 out of 5 stars,"Reviewed in India on February 14, 2021",Verified Purchase,"This Product shown fulfilled by amazon..with 10 day replacement..

Received defective piece..But they don't provide replacement

we believe or know the Amazon not the particular seller...when If you observe

Amazon sellers selling defective pices at lower prices than usual ..And further don't provide replacement..It's bad experience with Amazon..

Seller shown with A name
Bill received with product is with B name

Amazon couldn't do anything for such issues..Than providing refund..

Ie when customer having some beanifits with product they provide refunds directly..

When customer needs refund dont want the product they can provide only replacement..",10 people found this helpful
Rajesh Verma,Product Delivered witout complete checking - 1 Jar and Lid ...,2.0 out of 5 stars,"Reviewed in India on December 29, 2017",Verified Purchase,Product Delivered witout complete checking - 1 Jar and Lid gaskette was missing. It shows that at the time of packing there is no quality checking of complete product with accessories,33 people found this helpful
Ramu,The Best product in this category,5.0 out of 5 stars,"Reviewed in India on February 6, 2022",Verified Purchase,,5 people found this helpful
VB,Badly designed jars and very noisy.,2.0 out of 5 stars,"Reviewed in India on November 4, 2020",Verified Purchase,"I think the design of the jar is really bad. There are three screw heads protruding inside at the base around the blade where the matter being ground is going to get stuck and would be difficult to clean. It will be a potential source of germs in the long run. I have never seen such screws inside the jar in any other mixie and find it absolutely ridiculous!!
Also, the Nixie makes a huge noise even at minimum speed. All in all I am disappointed with Philips.",8 people found this helpful
Tony Kurian,The product is great; however,3.0 out of 5 stars,"Reviewed in India on February 1, 2017",Verified Purchase,"The product is great; however, there are high risk for personal injury, due to high vibration.. Precaution is better than cure..",50 people found this helpful
Rajan,Not a Mixer / Grinder which should have Philips logo on it,3.0 out of 5 stars,"Reviewed in India on January 17, 2021",Verified Purchase,"I bought this Mixer / Grinder because it is a Philips and because I liked the design of the base. It looks beautiful, and is very compact.

I am however disappointed -

- the materials Philips used are flimsy, the steel jars are thinner than what was there in the older Mixer/Grinder we had

- the jars have two blades and not four; this means in a chutney the coconut pieces are not shredded; (even though I like the pieces of coconut in a chutney)

I used to prefer Philips - possibly because I grew up in an era when Philips was a huge brand; but unfortunately today it does not translate to better quality; and it has a very unhealthy focus on cost cutting.

Edit 1 November
——
The knob / switch broke. The materials used is so flimsy. Possibly my last Philips home appliance that i will purchase.

Rating it at 1 star because I have to purchase another Mixer.",8 people found this helpful
Nikhil Rodrigues,Worst Mixer Grinder from Philips,1.0 out of 5 stars,"Reviewed in India on April 13, 2021",Verified Purchase,"If you are panning to buy this model, read on and AVOID.

1. The dry jar (mid size one), comes without rubber gasket. And the lid does not fit in at all. In fact I feel even with gasket, the lid won't fit in since it's size is clearly different from the jar.
2. So that means you only get 2 usable jars and pay for 3
3. Chutney and wet jars work fine. You need to hold chutney jar very tightly else contents spill. This is worse than previous Philips models we have used. I wonder we are in 21st century and we still need to hold mixer jar tightly and worry about spilling? Poor design by Philips.
4. Sound is not too loud and acceptable. Operation is also fine.

Overall I feel cheated by Philips due to such low quality check, design and reliability. I would say pay a little more and go for brand like Bosch which gives you mixers jars which you don't need to hold while operating.",5 people found this helpful
Faizal V A,Sub standard product from philips,1.0 out of 5 stars,"Reviewed in India on September 29, 2020",Verified Purchase,"While ordering please remember that this product is not returnable. In case of any serious damage they may replace the same brand. Amazon customer care is straightaway refuses even to replace the item in case of minor issues under the pretext that it is a brand issue. After an hour long arguments and escalating this issue to the next level I was able to get a replacement. But the replaced item also have the same issues.
Issues:
1.This product comes with three jars(big, medium and small). But they are not providing gasket for the medium
jar. Without Gasket you can not operate this jar as liquid spills out. You have to purchase suitable gasket locally
to operate this jar. (pls see the image)

2. All the three jars are provided with single blades. No twin blades in any of the jars

3. Blades are permanently fixed so that cleaning or replacement requires experts service

4. The handles are made by low quality plastics",7 people found this helpful
Sonal Kamat,Looks great but that's all it is worth!,2.0 out of 5 stars,"Reviewed in India on July 26, 2021",Verified Purchase,"A very smart looking product by Philips. I am a long-standing customer of Philips. Whether its the electric razors that the men in the family use or its the juicer or the toaster or the mixer grinder that i use. Before I ordered this mixer in October 2019 I had been using a Philips mixer grinder with a 600 W motor for about 7 -8 years. That mixer was a fairly silent machine and grinding quality (for indian consumption- coconut, dal etc) was very good. I had no complaints with that machine so when I saw this mixer which looking smart and came with a 750 W motor and a reasonable price I immediately bought the machine. I have been using this now for almost 2 years. And here is my experience in the last two years :

In the looks department there is nothing missing. But when it comes to performance I give it a zero. The machine is extremely noisy. The grinding quality is also not great. The masalas and the dry stuff grind well, though it takes a bit longer than my earlier mixers which did not have a motor as strong as this one. The jar also heats up in the process. Grinding Coconut chutney, dosa batter, dal is a big task. End result is not good. There are times when I am grinding something and the mixer runs for quite some time but nothing gets ground. For eg - Coriander chutney. All my other mixers did a very fine job. But in this one I need to repeatedly mix the layer else the top layer of coriander just remains as is. And all this while the motor is busy making a loud grinding noise. The extra power does nothing but add noise. Would recommend the 600 W Simply Silent machine to this one. This one is a definite - NO BUY!
PS. AMAZON PRIME sale is on and I am looking for a mixer within 2 years of buying mine and that's how I came to writing this review today.",4 people found this helpful
Amit,Not a good product to buy,1.0 out of 5 stars,"Reviewed in India on September 16, 2018",Verified Purchase,"Product is expensive with a brand name but working is awful, makes a lot of noise and is not grind anything",28 people found this helpful
Shweta T.,Don't go for this.,2.0 out of 5 stars,"Reviewed in India on May 28, 2020",Verified Purchase,"The mixer grinder is good.
Definitely not the best.
Since the blades are fixed, they could have provided 2 pairs of blades instead of just one
Also the dry grinder jar's cap doesn't have a gasket attached which is just such a meaningless thing to do while manufacturing.
Even though it's a dry mixture, it will also spill. So what then?
That's the main issue that is bothering us.
Plus after paying so much, there is no option to return this product. Only replace is available which is completely pathetic. Not at all happy with the overall experience.",8 people found this helpful
Varsha,Poor performance,2.0 out of 5 stars,"Reviewed in India on November 9, 2018",Verified Purchase,"Very disappointed with the performance. It just doesn't grind to expectation. I wanted to use it for making dry fruit milkshakes and inspite of soaking the dry fruits for a few hours before grinding in the wet jar, it leaves piece residue and does not grind fully. I would suggest to rather spend a little more and pick up something in the 3.5k plus range.",15 people found this helpful
Girija Anbarasu,Jerking and splashing on the wall with small jar,4.0 out of 5 stars,"Reviewed in India on November 7, 2020",Verified Purchase,"I am using it only for the past 8 months.
Pro
The noise level is less. grinds ok.. not very good as compared to preethi blue leaf.
Con
The most irritating part is with the small jar .. even when you grind little amount and turn the mixie on it gives a jerk and splash the content from jar to all over the walls though holding the lid tightly.. you have to put very very minimum quantity of items to put for grinding and add little by little.. or only use the bigger jar.. the quality of the jar need to be improved. I could see some cracks coming up in the stainless part near the lid cover area so the chutney leaks when its slight watery",6 people found this helpful
nishahathi,NEVER BUY THIS PRODUCT !!,1.0 out of 5 stars,"Reviewed in India on August 5, 2019",Verified Purchase,"This product is so useless.. grinds almost nothing and the blade broke in few months. It is so noisy . Philips have gone down in its quality. Will never buy anything from this company.
I had registered the complain with Philips and the technician thinks the machine is alright.. the company has gone to such low quality. Never buy any product of Philips. Had there been a negative star rating I would have given that. It doesn't deserve even one star.",9 people found this helpful
Amazon Customer,"Compact, light weight. Usability to be improved",3.0 out of 5 stars,"Reviewed in India on March 7, 2020",Verified Purchase,"The base unit is compact and elegant, but the rubber vacuum suction legs are a hindrance to usability as moving the base to a desired position before use is difficult.The jars are light weight - not sure if this is good or bad.  The handles are cheap quality plastic with bad finish.  There's a tendency to injure the hand if not used carefully.The wet jars have rubber gasket but they are too soft and flexible and does not close the jar sufficiently tightly.  The half filled jars leak, splatter and vibrate when in use making kitchen messy 😠.The lids don't have a smaller lid/opening to check consistency of food or to add water.  Need to open the lid everytime, again leading to messy kitchen as food will fall out/coat the lid/jar while opening.  Would be good to have a smaller lid on the bigger wet jar, especially useful while making idly/Dosa batter.  The transparent lid becomes opaque while grinding defeating the purpose of transparent lid.  Extracting butter from curds is messy if the jar of half full 😠Where can I get spare gaskets for the jars as I see they tend to go bad pretty soon. I've been using the mixie since 2.5 months the small jar gasket is almost gone!  I use the small jar daily 3-4 times.",5 people found this helpful
Venky 📸,Monster with Good Looks| Updated Review,4.0 out of 5 stars,"Reviewed in India on January 9, 2019",Verified Purchase,,6 people found this helpful
Ayan,Inferior Build Quality,1.0 out of 5 stars,"Reviewed in India on November 14, 2021",Verified Purchase,"Quality of Philips mixer has deteriorated in all these years. In fact, almost all mixers in the market nowdays (no matter what their price is) seems to be made up of Inferior quality materials.
The jars are thin and the bottom plastics are also weak, they gets severely heated up while grinding spices. The pressure build up inside sometimes get so high that it splashes out the contents which creates a mess and may hurt you.
My previous Philips mixer worked for 20+ years until a few months back when it got short circuited due to a power surge. It never had these kind of issues and the jars were thick and sturdy unlike this one (as you can see in the picture).

Not a good choice! Don't buy!!",One person found this helpful
SRawat,Great product but chutney grinder is not apt,3.0 out of 5 stars,"Reviewed in India on April 5, 2022",Verified Purchase,"I absolutely love this product. The look is great. Noise is a little too much but I have been using it for a few months now. And it has been working great. A few incidence with the chutney jar that I would like to mention. Inspite of holding the lid tightly with hands, the jar opened in the midst of running and there went the chutney all over my kitchen. This was the second episode which led to the kitchen being a mess. But apart from this , the other 2 jars work perfectly.",3 people found this helpful
Rijin,Three cheers to Amazon and Philips !!!,5.0 out of 5 stars,"Reviewed in India on August 14, 2020",Verified Purchase,"By far this product has met out expectation. Being 750 watt the mixer is very much upto the mark on grinding and within 1-2 minutes its ready.
It has added an added 5yr motor warranty from philips due to which i had bought this one, one at my home and another one at inlaws.
All my family members are satisfied with the product and packaging has been very well managed by Amazon.
All in all philips and amazon three cheers for you helping in this Lockdown time.... supremely satisfied....",4 people found this helpful
MailboxKitchen,Very worst product noise and spillage from jar.,1.0 out of 5 stars,"Reviewed in India on March 24, 2020",Verified Purchase,This is so noisy and small jar is not tight at all when you make chutney everything spill out useless product waste of money. I used same 750 w from prestige it was good and came for 7 years still it is working. I thought Philips is a good brand model looking good but it is worst choice. I'm planning discard this waste material. My humble suggestion never buy this materials useless junk.,4 people found this helpful
Guvera Vasireddy,Bad plastic lids for jars.,1.0 out of 5 stars,"Reviewed in India on April 25, 2018",Verified Purchase,Some the quality of product is not as expected from philips. Within few days of use the jar lids got broken. Never had similar problems with philips products.,20 people found this helpful
Milind S Vashist,Best mixer in segment!,5.0 out of 5 stars,"Reviewed in India on November 17, 2021",Verified Purchase,"Mixer has adequate wattage which grinds spices pretty quickly. Jars are well formed and blades are removable too, unlike some other reviewers incorrectly mentioning the opposite. Round shape of motor unit and jars allow easy cleaning. Noise is bearable though and isn't sharp enough to hurt your ears. Motor has aluminum coil so it is lightweight but for durability I prefer copper coil. Suction caps are pretty good at holding the grinder on slab while grinder, but unfortunately my grinder didn't arrive with all three screws screwed underneath so I had to do it myself. For a video review, search YouTube for my channel M-DIY Exposing Lies, I have explained everything about this mixer in detail. Product came well packed too and manufacturing date was also new.",
Niharika ,"Not fully satisfied, its a compromise",1.0 out of 5 stars,"Reviewed in India on June 6, 2021",Verified Purchase,,3 people found this helpful
Satyam Roy,Very Powerful Motor - Great Aesthetics - Easy to operate - Value for money,5.0 out of 5 stars,"Reviewed in India on November 5, 2020",Verified Purchase,"I purchased this product during the Great Indian Festival Sale @ ~ Rs 2700 which was a great discount . Now , coming to its features :- I was very apprehensive of this product at first despite its really good design because I had read a lot of negative reviews regarding its high noise disturbance but having used this product , I can confidently say that any prospective buyer should shed those apprehensions because it is very natural for a 750 W motor to produce a certain decibel of noise which this mixer produces
I am really in awe of the motor as it hardly takes me just a few seconds to grind every thing possible ( even something as hard as rice ) .
The vacuum stand is also amazing as it ensures that the machine is fixed at a place and does not wobble during operation .
The color is amazing and the model looks really sleek and classy
All in all , a great buy - go for it
I couldn't find any cons in the product and I hope that it continues the same for a long period",3 people found this helpful
JD,Request for exchange,3.0 out of 5 stars,"Reviewed in India on June 16, 2021",Verified Purchase,"Dear Amazon team,
The product is not as the name suggested. The blades of all three jars are of a blender. As a standard atleast the main mixer has to be fitted with a mixer blade or offered as a fitment.

I hereby request Amazon to kindly allow exchange with a mixer as the product purchased will not serve the purpose and will be a wasted investment.

I have already spoken to Mr. Ayoob and Mr. Raj from your team however they wer not able to assist. Request your kind understanding and customer centric solution.",3 people found this helpful
Faza,Jars with pathetic locks. Spillage all over often,1.0 out of 5 stars,"Reviewed in India on October 15, 2019",Verified Purchase,"After 3 months of use:
1. Jars have huge lock in problem. The small jar is still reliable but medium jar has no rubber gasket. As a result material comes out often.
2. The large jar also has no locks and ordinary gasket with not so tight lid. Again spillage happens very often. I end up cleaning the whole kitchen.
I had a bajan mixer earlier but only because if Philip's brand name I gave it a try. Will switch back to Bajaj again",4 people found this helpful
Lalit Sharma,Just Go for it,5.0 out of 5 stars,"Reviewed in India on September 27, 2019",Verified Purchase,"Bought this for my mom and she is definitely happy .
1:- Easy to use speed nob (3 speed )( Reverse function)
2:- Powerful motor( enough to grind well dried turmeric into fine powder)

Mixer grinder Buying Advice( Powerful Motor= Good Mixer Grinder )

Has been more than 2 months or so using it daily and impressed by its performance
Bought many mixer grinder but nothing compared to Phillips.

so as far my verdicts goes definitely worth every penny spent on it provide the item is take care off.

Regard's
Lalit
Ironhide Tech.",4 people found this helpful
Harish Aggarwal,"Lousy product and worse, Amazon has put Amazon Choice stamp on it.",1.0 out of 5 stars,"Reviewed in India on April 14, 2022",Verified Purchase,"Be Very careful on buying this product. Don't get carried away with ""Amazon Choice"" tag on it.

This product has 12% bad rating on it. Just go through those reviews and make your own decision at your own peril.

Also, this product has no return policy.

Be scared, be very very scared.

Total waste of money.",One person found this helpful
Deeptarup Biswas,Excellent mixer.,5.0 out of 5 stars,"Reviewed in India on July 24, 2018",Verified Purchase,"Perhaps the best from philips within 3k range. Got at Rs. 2998, it comes with 5yrs motor warranty. Not so loud like cheap grinders, it grinds with 750watts punchy motor. Need pressure on lid when grinding watery food items. Motor is heavy, build quality is great. Grinder comes with 3 airtight stoppers to prevent slipping. Jar quality good, high quality rubber grip on 2 jars. No spatula. Printed MRP is Rs. 4045",7 people found this helpful
Basit Mulla,Splendid Mixer/Grinder by Philips,5.0 out of 5 stars,"Reviewed in India on September 3, 2021",Verified Purchase,"After lots of research brought Philips Mixer/Grinder 750W. The product got delivered within 3 days.

It looks cool (black). The design is especially impressive as it is small and round in shape and doesn't require much space in the kitchen. So if you have a small kitchen, I'd recommend this product.

There are many reviews stating this product makes noise but I presume every Mixer/Grinder comes with this feature.😅

Overall the quality is up to mark. 750W motor is powerful enough to get the job done. It comes with 3 jars all with fibre lids and they look durable. The power cord is long enough, so no worries here.

If you are looking something in this range go for it.",One person found this helpful
Manasa,Disappointing product from Philips,3.0 out of 5 stars,"Reviewed in India on January 8, 2021",Verified Purchase,"I regret buying this to replace my 8 year old 600watts Silent model by Philips. Should’ve returned it, but somehow got stuck with it now. Noise level is expectedly loud. Apart from the sleek looks, the jars are a horrible mismatch to the motor. They are light weight and thin, blades are the same in all 3 jars, the lids leak and the big jar does not have a dome lid which is useful when grinding. The blades are so bad, that only the bottom contents of the jar grind. The stuff in the jar needs to be mixed manually at regular intervals and this makes it very cumbersome. I hate being stuck with this piece now. Would highly recommend to not buy this appliance. I’m surprised that Philips has such a badly designed product.

Edit: after using this for 4 months, I’ve realised that the lids leak if the inner gasket isn’t fixed properly so as to hold it to the jar when closed. However, the second jar lid missing a gasket and the jar quality and flat lids are still negatives for me. Revised the rating up by a star.",
Nals,Doesn’t  to basic grinding work,2.0 out of 5 stars,"Reviewed in India on April 17, 2021",Verified Purchase,,One person found this helpful
TADAGARI SAILU,Good product with less noise,5.0 out of 5 stars,"Reviewed in India on October 19, 2020",Verified Purchase,"Noise level was same as other products but a little less noice than others
And also it is easy to clean even the blades are also of gud quality
Easy to use and less chances to happen some thing bad because it is safe to se even for every one who dont know before about a mixer grinder",4 people found this helpful
dragonfly2012,Awful experience and low quality,1.0 out of 5 stars,"Reviewed in India on July 24, 2021",Verified Purchase,"Very surprised for Philips to produce such low quality product. Had a very bad experience using this product so we returned it. Trying to blend soup, the lid came flying off and I had hot soup all over me and the kitchen. When I tried it again, only filling the jar 1/2 way and holding the lid with both hands it came off again pushed up by a very powerful force ..... my husband also tried it with just water, but the same thing happened. Not good at all, and quite dangerous. There is no locking mode for the lid, and the vibration of the motor is too powerful.",
Pratik Prasad Gupta,Lid of all the three jar is loose fitted,1.0 out of 5 stars,"Reviewed in India on October 4, 2021",Verified Purchase,,One person found this helpful
Naveen N.,Leaky jars,2.0 out of 5 stars,"Reviewed in India on May 25, 2021",Verified Purchase,,One person found this helpful
